[16/Jan/2023 10:10:36] INFO [django.utils.autoreload:643] Watching for file changes with StatReloader
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:321] Waiting for apps ready_event.
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:333] Apps ready_event triggered. Sending autoreload_started signal.
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:287] Watching dir /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/assests/templates with glob **/*.
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:287] Watching dir /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/locale with glob **/*.mo.
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:287] Watching dir /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/managing_director/locale with glob **/*.mo.
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:287] Watching dir /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/employee/locale with glob **/*.mo.
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/http/response.py first seen with mtime 1673344758.0568538
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/utils/deconstruct.py first seen with mtime 1673344758.0688555
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/forms/formsets.py first seen with mtime 1673344758.044852
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/contrib/contenttypes/views.py first seen with mtime 1673344757.704801
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/sqlparse/filters/tokens.py first seen with mtime 1673344757.148718
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/urllib/request.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/contrib/auth/signals.py first seen with mtime 1673344757.6647952
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/docx/enum/text.py first seen with mtime 1673349323.975397
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/docx/styles/style.py first seen with mtime 1673349323.995358
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/db/models/lookups.py first seen with mtime 1673344758.036851
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/db/migrations/migration.py first seen with mtime 1673344758.0288496
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/template/autoreload.py first seen with mtime 1673344758.0568538
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/asgiref/__init__.py first seen with mtime 1673344757.248733
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/docx/oxml/table.py first seen with mtime 1673349323.9913657
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/db/backends/mysql/features.py first seen with mtime 1673344758.024849
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/db/models/functions/comparison.py first seen with mtime 1673344758.0408514
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/views/debug.py first seen with mtime 1673344758.0728562
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/ssl.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/contrib/admin/exceptions.py first seen with mtime 1673344757.4727664
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/asyncio/base_futures.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/docx/styles/latent.py first seen with mtime 1673349323.995358
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/template/loaders/base.py first seen with mtime 1673344758.0608544
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/db/models/functions/datetime.py first seen with mtime 1673344758.0408514
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/views/decorators/__init__.py first seen with mtime 1673344758.0728562
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/employee/views.py first seen with mtime 1614176171.4414828
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/dis.py first seen with mtime 1670375518.0
